id,name,description,alcohol,glass_id,technique_id,image
10,ホワイト・レディ,アルコール、甘み、酸味のバランスが抜群。度数が高いわりにとっても口当たりが良くて、すっきりとした味わい。ジンをブランデーにかえると「サイドカー」、ウォッカにかえると「バラライカ」、ラムにかえると「XYZ」になる。,度数 約 30 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_white_lady_01.jpg
11,ブルー・レディ,ホワイト・レディのベースをブルーキュラソーにし、卵白を加えたレシピ。飲み口は非常に優しく飲みやすく、スッキリ爽やかながらも強すぎず、まろやかな味わい。,度数 約 17 %,3,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_blue_lady_01.jpg
12,フリッパー,カンパリとアマレットの風味を感じる味わい。,度数 約 29 %,1,2,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_flipper-02_01.jpg
13,ペル・メル,さっぱりとした口当たり。,度数 強い (25度以上),1,2,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_pall_mall_01.jpg
14,ジン・フィズ,ジンの風味とレモンの酸味が合わさり、さっぱりとして爽やかな口当たりで飲みやすい。,度数 約 12 %,4,3,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_gin_fizz_01.jpg
15,ギムレット,ジンとライムのシンプルなカクテル。ジンの香りとライムの酸味が合わさり、甘さとキレに香りとまろやかさのバランスが魅力。1890年頃、イギリス海軍の軍医であったギムレット卿が、艦内で将校に配給されていたジンの飲み過ぎを憂慮し、健康維持のためにライム・ジュースを混ぜて飲むことを提唱したことが起源。砂糖が入ったコーディアルライムジュースを使うと甘めに仕上がる。果汁100%のライムジュースだと、爽やかな香りが際立つ仕上がりになる。,度数 約 30 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_gimlet_01.jpg
16,ギムレット・ハイボール,ギムレットをソーダで割ったハイボール。ジンとライムがスッキリ爽やか香り。爽やかな味わいのギムレットに炭酸が加わってさらに爽快感がアップ。,度数 普通 (9度〜24度),4,3,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_gimlet_highball_01.jpg
17,ジンライム,ライムの酸味とジンの風味を、そのままさっぱりと味わうことができるカクテル。カクテル言葉は「色あせぬ恋」。同じ材料でもシェイクするだけでギムレットというカクテルになる。甘いカクテルが苦手な方にはおすすめ。,度数 約 30 %,2,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_gin_and_Lime_01.jpg
18,プリンセス・メアリー,1922年に行われたメアリー王女の結婚式の記念として、ロンドンにある「シローズクラブ」のハリー・マッケルホーン氏が考案したカクテル。クリーミーな甘口の味わいで、食後のデザートにもおすすめ。ブランデーベースの「アレキサンダー」のバリエーションカクテル。,度数 約 24 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_princess_mary_01.jpg?v=2
19,ドマーニ～明日～,名前はイタリア語で「明日」の意味 。カンパリの苦味にアマレットの甘みとブラッド・オレンジジュースのフルーティさが加わり、飲みやすいカクテル。2005 Suntoy The Cocktail Award ロングカクテル部門 最優秀賞。山本悠可氏の作品。,度数 普通 (9度〜24度),5,3,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_domani_01.jpg
20,ブライア・ローズ,名前は「眠れる森の美女」という意味。ジンの風味を感じながら甘さを感じ味わい。小池真理子氏の創作。1998年 第2回 全国 バー レディース カクテルコンクール 金賞を受賞。,,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_briar_rose_01.jpg
21,スターリー・ナイト,フルーティな甘みを感じる味わい。横田智子氏の創作。1998年 第25回 N.B.A. 全国 バーテンダー 技能競技大会 総合 準優勝、創作部門 第2位を受賞。,,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_starry_night_01.jpg
22,バートン・スペシャル,豊かで贅沢な風味とすっきりとドライな味わい。,度数 約 35 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_barton_special_01.jpg
23,青い珊瑚礁,ペパーミントのグリーンを南の海に、赤いチェリーを島や珊瑚に見立てた美しいカクテル。ジンとペパーミントリキュールが絶妙にマッチした、甘く濃厚な味わい 。後味でしっかりとミントのさわやかな風味を楽しめる 。1950年 第2回オールジャパン・ドリンクス・コンクール 優勝作品。,度数 約 35 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_blue_coral_reef_01.jpg
24,トマティーニ,ジンのドライさをトマトジュースの甘みが和らげて飲みやすい。,,1,2,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_tomartini_01.jpg
25,オーキッド,名前は蘭の花、あるいは淡紫色の意味。まろやかな口当たりで、スミレの花の香り。,度数 約 25 %,3,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_orchid_01.jpg
26,20th・センチュリー・リミテッド,ピンクがかった美しい紫色で、酸味を感じてスッキリ爽やかな味わい。,,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_twentieth_century_limitted_01.jpg
27,ローザ,きりっとした口当たりと豊かな香り。,度数 約 36 %,1,2,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_rosa_01.jpg
28,ブラッディ・サム,名前はありふれたイギリス人の名から。トマトの香りとドロリとした口当たりで、塩と胡椒を加えるとピリッと引き締められた味わいになる。ウォッカベースにすると「ブラッディー・メアリー」になる。禁酒法時代のアメリカで、このトマトジュース色をしたブラッディ・サムはごまかしやすかったことから、盛んに飲まれていた。,度数 約 12 %,0,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bloody_sam_01.jpg
29,紫水晶,名前は宝石のアメジストのこと。薄田恒氏の創作。1964年のサントリーカクテルコンペティションジンの部 優勝作品。パルフェタムールの香りが仄かに漂っている。少し甘めで飲みやすい。,度数 強い (25度以上),1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_murasaki_suisho_01.jpg
30,アリス・クイーン,程良い甘味と酸味があり、口当たりが良く、さっぱりとして飲みやすい。松本藤尾氏の創作。1958年 優勝を受賞。,,6,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_alice_queen_01.jpg
31,スターダスト・レビュー,ドライな味わい。アルコール度数は高いが、とても爽やかで飲みやすい。庄司浩氏の創作。1996年 第20回 H.B.A. 創作 カクテル コンペティション ドライ部門 第1位を受賞。,度数 強い (25度以上),1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_stardust_review_01.jpg
32,タンカレー・プロミス,タンカレーの香り豊かな風味と程良い甘みを感じ、とても味わい深い。HBA日本ホテルバーメンズ協会 カクテルコンペティション2005 タンカレーNo.10部門 準優勝。齋藤倫生氏の創作。,度数 強い (25度以上),1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_tanqueray_promise_01.jpg?v=2
33,イエロー・ラットラー,ネーミングの由来は黄色いガラガラヘビという名前。ベルモットの豊かな香りを感じ、さっぱりとした口当たり。,度数 約 17 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_yellow_rattler_01.jpg
34,トム・コリンズ,イギリス・ロンドンのバーテンダーのジョン・コリンズがつくった「ジョン・コリンズ」というカクテルが元祖。ほんのり甘く、爽やかな味わい。「ジン・フィズ」と材料と作り方はほとんど同じ。,度数 普通 (9度〜24度),4,3,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_tom_collins_01.jpg
35,フレイム・オブ・マティーニ,パルフェタムールの香りとカンパリの苦味にジンが合わさった風味が素晴らしい。甘みを感じつつも苦味もあり、ドライな味わい。堀内雅人氏の創作。1999年 ジャーディン W&S カクテル コンペティション タンカレー部門 第3位を受賞。,度数 約 31 %,1,2,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_flame_of_martini_01.jpg
36,オレンジ・ブロッサム,名前は直訳すると「オレンジの花」という意味。ジンとオレンジジュースが合わさることで、爽やかな甘酸っぱさを感じる味わい。1920年代のアメリカ禁酒法時代に生まれたカクテル。闇ルートで流れた粗悪な酒で、とてもそのまま飲むことができない状態に対し、オレンジジュースを加え、なんとか飲めるようにしたカクテル。アレンジでアンゴスチュラ・アロマティック・ビターズを1 dash加えると味がより引き締まり、よりドライな味わいになる。,度数 普通 (9度〜24度),1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_orange_blossom-01_01.jpg?v=2
37,オレンジ・ブロッサム,ジンの爽やかな香りにオレンジの甘みとフルーティさを感じる味わい。スクリュー・ドライバーのベースをジンに変えたカクテル。,度数 普通 (9度〜24度),0,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_orange_blossom-02_01.jpg?v=2
38,ジン・バック,"名前に入っている""buck""には""stag""(牡鹿)の意味があり、キックの効いた酔いやすいカクテルという意味。すっきりとした飲み心地で甘みのある味わい。ジンバックの発祥のバーがロンドンにあることから、「ロンドン・バック」とも呼ばれている。",度数 普通 (9度〜24度),4,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_gin_buck_01.jpg
39,ブルー・デビル,シトラス系の香りが漂い、柑橘系の甘みと程良い酸味で、さっぱりとした口当たりのカクテル。,度数 約 23 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_blue_devil_01.jpg
40,アンシャンテ,名前はフランス語で「始めまして」の意味。ライチリキュールの香りと甘みを感じながらも、さっぱりとしていて、後味でジンの風味をしっかりと感じる甘酸っぱいカクテル。銀座バーオーパの大槻健二氏の創作。,度数 約 24 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_enchante_01.jpg
41,ブロンクス,ニューヨーク、マンハッタン島に位置するブロンクスから、名付けられたカクテル。アメリカの禁酒法時代に、密造された粗悪なジンを飲むために考えられた。オレンジとスート・ベルモットのほのかな甘みを感じながらも、ジンのキレの良い辛口さも感じる。ジンをラムに代えると「サード・レール」。卵黄を加えると「ブロンクス・ゴールド」。卵白を加えると「ブロンクス・シルバー」。,度数 約 23 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bronx-01_01.jpg
42,ブロンクス,ニューヨーク、マンハッタン島に位置するブロンクスから、名付けられたカクテル。オレンジ系のフルーティな甘みがジンのドライさを和らげている。,度数 普通 (9度〜24度),1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bronx-02_01.jpg
43,ブロンクス・シルバー,ブロンクスはニューヨーク市内の区の名称、有名なブロンクス動物園がある。このレシピの卵白を卵黄を代えると「ブロンクス・ゴールド」になり、卵白を除くと「ブロンクス」になる。ブロンクスに卵白が加わることで、ドライさとアルコール感さが和らぎ、滑らかな舌触りになっている。,度数 約 13 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bronx_silver_01.jpg
44,ブロンクス・ゴールド,ブロンクスはニューヨーク市内の区の名称、有名なブロンクス動物園がある。このレシピの卵黄を卵白を代えると「ブロンクス・シルバー」になり、卵黄を除くと「ブロンクス」になる。ブロンクスに卵黄が加わることで、ドライさとアルコール感さが和らぎ、甘みは感じず、濃厚さが増したコクのある味わい。,度数 約 16 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bronx_gold_01.jpg
45,ブロンクス・テラス,「ブロンクス」からスイート・ベルモットを省き、オレンジジュースをライムジュースに変更したカクテル。甘さは無く、ライムの酸味を感じ、すっきりとした味わい。,度数 約 22 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bronx_terrace_01.jpg
46,ブロンクス・ドライ,「ブロンクス」からスイート・ベルモットを省いたカクテル。ジンとドライ・ベルモットの辛口な組み合わせにオレンジのアクセントで、ほのかに甘さを感じ、すっきりとした味わい。,度数 約 22 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bronx_dry_01.jpg
47,ジン・ウーロン,ジンの風味をしっかりと感じ、烏龍茶の風味がジンのアルコールの強さを和らげており、さっぱりとしていて飲みやすい。ジンの比率を多めにした方が、ジンの風味が烏龍茶の味に埋もれにくい。,,0,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_gin_oolong_01.jpg
48,ジン・ソーダ,材料がジンとソーダだけなので、手軽に作れる。ジンの爽やかな風味をダイレクトに感じながら、炭酸の発泡感で喉越しが良い。,,4,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_gin_soda_01.jpg
49,アビー,名前はキリスト教の大修道院の意味。オレンジの甘みは殆ど感じず、すっきりとした香りと味わい。,度数 約 22 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_abbey_01.jpg
50,ホノルル,名前はハワイの州のホノルルから。オレンジやパイナップルやレモンのトロピカルをイメージさせるジュースをそれぞれ少しだけ加わることにより、口当たりが柔らかくなり、キリッとしたテイストで味に厚みが増している。,度数 約 35 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_honolulu-01_01.jpg
51,ブルー・トレイン,程良い甘さとさっぱりとした味わい。「ホワイト・レディ」の材料にブルーキュラソーを1tsp.追加してシェイクしたカクテル。,度数 約 26 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_blue_train_01.jpg
52,レッド・ライオン,名前は、ヨーロッパの家紋に、赤いライオンを模したものが多く、その名が名付けられた。名前の「Red Lion」は、イギリスではパブの目印でもある。フルーティーでさっぱりとした味わい。1933年、ロンドンで開催されたブリティッシュ・エンパイア・カクテル・コンペティションの入賞作品。,度数 約 22 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_red_lion_01.jpg
53,テンカラット・アクセサリー,洗練された宝石のアクセサリーに例えたカクテル。タンカレー No.10のプレミアムなジンのテイストにパイナップルと青リンゴの甘みが合わさり、洗練された味わい。ジンのドライな味の中に、ほのかな甘味と酸味を感じ、味を引き立てている。キャッチコピーは、「クリスタルのきらめきを放つタンカレーの神秘。今、その光を失わず、10カラットの宝石として生まれ変わった。それは、あなたを輝かせる最高のアクセサリーです。」HBA日本ホテルバーメンズ協会 カクテルコンペティション2005 タンカレーNo.10部門 優勝。岡田一郎氏の創作。,度数 強い (25度以上),1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_ten_caray_accessary_01.jpg
54,スターティング・オーバー,名前は「再出発」「新しい出発」の意味。ブランデーの芳醇な香りが漂い、ジンの切れ味によるシャープさがあり、アルコール度数の高い辛口ながらも穏やかな味。漫画『バーテンダー』に掲載されていたカクテル。,度数 約 34 %,1,2,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_starting_over_01.jpg
55,ジン・コーラ,コーラの甘味の中にジンの風味を感じ、甘くて喉越しがすっきりとしたカクテル。「コーク」はコカ・コーラ社が発売する「コカ・コーラ」の愛称。コーラをコカ・コーラにすると「ジン・コーク」になる。,度数 普通 (9度〜24度),4,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_gin_cola_01.jpg
56,ベネット,名前は人名。程よい甘さと酸味の爽やかなテイストで、バランスが良い味わい。1920年代に誕生したと言われているクラシック・カクテル。ギムレットにビターズとシュガーシロップを加えたカクテル。,度数 約 26 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bennett_01.jpg
57,ブラック・ルシアン,コーヒーリキュールの香りと甘い風味が特徴。アルコール度数の高さにも関わらず、甘口で飲みやすいカクテル。,度数 約 30 %,2,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_black_russian_01.jpg?v=2
58,ホワイト・ルシアン,「ブラック・ルシアン」に生クリームをフロートしたバリエーション。「ブラック・ルシアン」に生クリームのクリーミーさと甘みが加わった味わい。「ルシアン」はロシア人を指す英語で、材料にウォッカが含まれていることに由来。,度数 約 30 %,2,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_white_russian_01.jpg?v=2
59,コスモポリタン,名前は「全世界共通」や「国際人」という意味で、現在では世界的に有名になったカクテル。アメリカの大人気ドラマ「セックス・アンド・ザ・シティ」で主人公のキャリーが愛飲していたカクテルで、海外でも日本でも女性に人気。マティーニの種類のひとつ。美しい赤色が特徴的。フルーティで口当たりも良くて飲みやすく、味のバランスが取れた一杯。,度数 約 20 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_cosmopolitan_01.jpg
60,パッショネート・コスモ,瑞々しくシャープな風味に仕上がり。スタンダードカクテルの「コスモポリタン」のアレンジレシピ。,度数 強い (25度以上),1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_passionate_cosmo_01.jpg
61,ベイ・ブリーズ,アメリカで人気のあるジューシーなカクテル。フルーティな味わい。ソフトドリンク感覚でとても飲みやすい。,度数 約 10 %,0,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bay_breeze_01.jpg
62,フランボワーズ・サワー,甘酸っぱい味わい。木イチゴのリキュールのフランボワーズ・リキュールを使った代表的なカクテル。,度数 約 12 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_framboise_sour_01.jpg?v=2
63,グランブルー,トロピカルでスッキリとした味わい。淡いピンクとブルーのグラデーション。,,0,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_grand_blue_01.jpg
64,ホワイト・スパイダー,シンプルにウォッカとペパーミントの香りを楽しめ、気分がすっきりとする爽やかなカクテル。ベースをブランデーに帰ると「スティンガー」になる。,度数 約 30 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_white_spider_01.jpg
65,スレッジハンマー,名前は両手で持って振り下ろす大きな金槌という意味。酒を飲みなれていないと、ガツンとくるような効きの強さから命名された。酸味があって、かなり強い口当たり。,度数 約 35 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_sledgehammer_01.jpg
66,ラクゥエル,J.M.de Sousa氏の創作。1990年 第19回 I.C.C. メキシコシティ(メキシコ)大会 アフターディナー 部門 第1位を受賞。,,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_raquel_01.jpg
67,サン・エキスポ,大阪万博の時に小林省三氏の創作。1970年 J.B.A. EXPO'70 世界コクテールコン クール ロング部門 グランプリを受賞。,,5,3,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_sun_expo_01.jpg
68,ロシアン・コーヒー,ロシア風「玉子酒」とも言えるロシアンコーヒー。卵黄が入ることで、カスタードクリームのようなまろやかな甘味がある。ロシアでは、身体を芯まで温める飲み物として愛されている。上手に作るコツは、卵黄が固まらないようにかき混ぜながら熱いコーヒーを注ぐこと。,度数 弱い (8度以下),7,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_russian_coffee_01.jpg
69,ブルー・レディ,パルフェタムールの甘みとライムの酸味で飲みやすい。森章氏の創作。1971年 札幌 オリンピック 記念 カクテル コンペティション 優勝を受賞。,度数 約 27 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_blue_lady-02_01.jpg
70,フリッパー,甘くフルーティな味わい。大津千絵氏の創作。1995年 第8回 N.B.A. 関東 Jr. カクテル コンペティション 優勝を受賞。,,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_flipper-01_01.jpg
71,ブリーズ・アンド・アイ,高い度数を感じさせないような、すっきりと軽い飲み口。長谷川清氏の創作。1973年 H.B.C. オリジナルカクテルコンペティション 優勝。,度数 約 31 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_breeze_and_eye_01.jpg
72,ブルーラグーン,名前は青い湖の意味。1960年にフランス・パリの「ハリーズ・バー」のバーテンダーである、アンディ・マッケンホルン氏が考案。レモンの酸味が効いたさっぱりとした味わい。カクテル言葉は「誠実な恋」。,度数 約 25 %,8,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_blue_lagoon_01.jpg
73,ソルト・リック,名前は動物の塩なめ場、動物になめさせる岩塩のこと。ソルティ・ドッグに、トニックウォーターを加えたレシピ。グレープフルーツジュースの酸味とトニックウォーターで割るため、爽やかでさっぱりとした味わい。,度数 約 10 %,4,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_salt_lick_01.jpg
74,ウォッカ・トニック,ウォッカとトニックの爽やかな香りとほのかな甘みで、ジントニックよりもさらにスッキリとした味わい。さっぱりしているので、料理にも合わせやすい。,度数 普通 (9度〜24度),4,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_vodka_tonic_01.jpg
75,カルーア・コーヒー・クーラー,ウォッカのアルコールを感じつつも、甘みのある濃厚なコーヒーの味わい。,度数 普通 (9度〜24度),0,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_kahlua_coffee_cooler_01.jpg
76,ブラッディ・メアリー,トマトの香りとドロリとした口当たりで、塩と胡椒を加えると、ピリッと引き締められた味わいになる。ジンベースにすると「ブラッディ・サム」になる。1921年にパリの「ニューヨークズ・バー」(1923年に「ハリーズ・ニューヨーク・バー」に改名)で誕生したといわれている。イングランド女王およびアイルランド女王であったメアリー1世(1516-1558)に由来し、カトリック復興のためにプロテスタントを迫害したため、「血まみれメアリー」と呼ばれた。,度数 約 12 %,0,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bloody_mary_01.jpg
77,チチ,ミルキー口当たりでトロピカルな味わい。トロピカルなハワイアンカクテルの定番。「チチ」の語源は、フランス語の「シシ」で、女性用ブラウスの胸元にあるフリルのこと。後にアメリカに渡り「粋な」「カッコイイ」などの俗語として使われるようになった。トロピカルグラスが無ければロックグラスでも合う。,度数 弱い (8度以下),9,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_chi_chi-01_01.jpg
78,ソルティ・ドッグ,名前は甲板の上で塩だらけになって働く甲板員を意味するイギリスのスラング。さっぱりとした口当たりで、グラスの縁の食塩との組み合わせが絶妙。グラスの縁に付ける食塩を省くと「ブルドッグ」になる。,度数 普通 (9度〜24度),2,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_salty_dog_01.jpg
79,ブルドッグ,グレープフルーツの酸味を感じる爽やかですっきりとした飲み心地で、さっぱりとしていて飲みやすいカクテル。グラスの縁に塩がついていなければ「ブルドッグ」、塩がついていれば「ソルティ・ドッグ」となる。カクテル言葉は「守りたい」。,度数 普通 (9度〜24度),2,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_bulldog_01.jpg
80,カミカゼ,名前は太平洋戦争における日本海軍の神風特攻隊から。味の切れ味に鋭さがあり、程良いライムの酸味で、さっぱりとした味わい。,度数 約 25 %,2,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_kamikaze_01.jpg
81,カミカゼ・ショット,「カミカゼ」をシューターにしたカクテル。柑橘の風味を感じ、さっぱりとした酸味があって飲みやすい。,度数 強い (25度以上),10,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_kamikaze_shot_01.jpg
82,レッドブル・ウォッカ,味わいはほぼレッドブルで、爽やかな飲みやすいカクテル。,,4,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_red_bull_vodka_01.jpg
83,コザック,名前は帝政ロシア騎兵隊のコザック兵の強さに匹敵するようなアルコールの強さから。芳醇なブランデーとウォッカのアルコールの強さがあり、爽やかなライムの酸味によって、すっきりとした辛口。,度数 約 25 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_cossack_01.jpg
84,ウォッカ・ソーダ,さっぱりとした味わいで、料理にも合わせやすい。,度数 普通 (9度〜24度),0,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_vodka_soda_01.jpg
85,ネイキッド・マヤ,キリッとドライなテイストの中に、さっぱりとした柑橘系の爽やかな風味を感じる味わい。中に入れたオレンジをマドラーで潰しながら飲むことにより、好みの風味に調整することができる。,度数 約 33 %,2,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_naked_maja_01.jpg
86,ロードランナー,名前は北アメリカ大陸に生息する地上を走る鳥の名前から。杏仁豆腐のような甘くて芳しい香り。甘みがあってココナッツミルクの風味が効いている一方、しっかりとアルコール感もある。1976年、アメリカで開かれたバーテンダー協会のコンペティション優勝作品。,度数 約 27 %,1,1,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_roadrunner_01.jpg
87,スクリュードライバー,名前はネジ回しの意味。1940年代、喉の渇きを癒やしたいイランの油田で働くアメリカ人技が、工具のネジ回しを使ってウオツカとオレンジジュースを混ぜて作ったのが名前の由来とされる。すっきりとした飲み口で、オレンジジュースの甘味とフルーティーな酸味を、ウォッカが引締めたような味わいで飲みやすい。甘さと酸味のバランスが良い風味。,度数 約 12 %,0,0,https://cocktaillog.com/ja/assets/images/cocktail-w120/cocktail_screw_driver_01.jpg
